proteinID,taxaID,cladeID,scientificName,genus,species
A0A0D9VQS6,77586,E,Leersia perrieri,Leersia,perrieri
A0A0D9VVZ8,77586,E,Leersia perrieri,Leersia,perrieri
A0A0D9W0D2,77586,E,Leersia perrieri,Leersia,perrieri
A0A0D9W3Q3,77586,E,Leersia perrieri,Leersia,perrieri
A0A0D9W7F7,77586,E,Leersia perrieri,Leersia,perrieri
A0A0D9WAF3,77586,E,Leersia perrieri,Leersia,perrieri
A0A0D9WAP4,77586,E,Leersia perrieri,Leersia,perrieri
A0A0D9WH16,77586,E,Leersia perrieri,Leersia,perrieri
A0A0D9WKV1,77586,E,Leersia perrieri,Leersia,perrieri
A0A0D9WLC1,77586,E,Leersia perrieri,Leersia,perrieri
A0A0D9WN63,77586,E,Leersia perrieri,Leersia,perrieri
A0A0D9WT32,77586,E,Leersia perrieri,Leersia,perrieri
A0A0D9X147,77586,E,Leersia perrieri,Leersia,perrieri
A0A0D9X1B0,77586,E,Leersia perrieri,Leersia,perrieri
A0A0D9XD69,77586,E,Leersia perrieri,Leersia,perrieri
A0A0D9XMD0,77586,E,Leersia perrieri,Leersia,perrieri
A0A0D9XPW5,77586,E,Leersia perrieri,Leersia,perrieri
A0A0D9XR98,77586,E,Leersia perrieri,Leersia,perrieri
A0A0D9XSA8,77586,E,Leersia perrieri,Leersia,perrieri
A0A0D9XYW9,77586,E,Leersia perrieri,Leersia,perrieri
A0A0D9Y1R3,77586,E,Leersia perrieri,Leersia,perrieri
A0A0D9Y3N8,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9Y4H2,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9Y5G6,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9Y5M7,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9Y5Z3,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9Y8Q5,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9YAA9,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9YFL0,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9YPW1,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9YRR3,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9YSS4,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9YSS6,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9YXP4,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9Z0B9,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9Z448,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9Z5L4,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9Z9A6,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9ZF41,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9ZFT7,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9ZG20,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9ZGT3,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9ZIP4,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9ZMT3,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9ZSP0,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9ZWV5,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0D9ZZ74,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0E0ABJ1,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0E0ACY3,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0E0AP77,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0E0AQD5,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0E0ASV7,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0E0B0L5,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0E0B569,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0E0B6F9,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0E0BG74,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0E0BNF4,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0E0BP74,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0E0BQ74,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0E0BRY0,40148,E,Oryza glumipatula,Oryza,glumipatula
A0A0E0C205,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0C5J7,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0CA56,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0CEK7,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0CGG3,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0CN95,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0CQX3,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0CUJ3,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0CVD5,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0CVL2,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0CYV0,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0D638,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0D8N0,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0D9W8,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0DAL6,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0DJ60,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0DLX1,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0DRT6,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0DSW5,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0DU21,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0DWX9,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0DYV7,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0E4P6,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0E8E7,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0EAG8,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0EBV8,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0ECB6,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0ED83,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0EEE5,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0EM71,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0F6Y7,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0F8K0,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0FCT0,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0FDS2,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0FDW0,40149,E,Oryza meridionalis,Oryza,meridionalis
A0A0E0FHX3,4536,E,Oryza nivara,Oryza,nivara
A0A0E0FPB7,4536,E,Oryza nivara,Oryza,nivara
A0A0E0FS65,4536,E,Oryza nivara,Oryza,nivara
A0A0E0FSK0,4536,E,Oryza nivara,Oryza,nivara
A0A0E0FT99,4536,E,Oryza nivara,Oryza,nivara
A0A0E0FVJ3,4536,E,Oryza nivara,Oryza,nivara
A0A0E0G539,4536,E,Oryza nivara,Oryza,nivara
A0A0E0GDP7,4536,E,Oryza nivara,Oryza,nivara
A0A0E0GH38,4536,E,Oryza nivara,Oryza,nivara
A0A0E0GJF8,4536,E,Oryza nivara,Oryza,nivara
A0A0E0GKC8,4536,E,Oryza nivara,Oryza,nivara
A0A0E0GSX1,4536,E,Oryza nivara,Oryza,nivara
A0A0E0GSY5,4536,E,Oryza nivara,Oryza,nivara
A0A0E0GZF2,4536,E,Oryza nivara,Oryza,nivara
A0A0E0GZF3,4536,E,Oryza nivara,Oryza,nivara
A0A0E0H285,4536,E,Oryza nivara,Oryza,nivara
A0A0E0HIL7,4536,E,Oryza nivara,Oryza,nivara
A0A0E0HKP2,4536,E,Oryza nivara,Oryza,nivara
A0A0E0HUR2,4536,E,Oryza nivara,Oryza,nivara
A0A0E0HVH8,4536,E,Oryza nivara,Oryza,nivara
A0A0E0I100,4536,E,Oryza nivara,Oryza,nivara
A0A0E0IKE9,4536,E,Oryza nivara,Oryza,nivara
A0A0E0IMP3,4536,E,Oryza nivara,Oryza,nivara
A0A0E0IQG0,4536,E,Oryza nivara,Oryza,nivara
A0A0E0ISX6,4536,E,Oryza nivara,Oryza,nivara
A0A0E0ITZ3,4536,E,Oryza nivara,Oryza,nivara
A0A0E0J3U0,4536,E,Oryza nivara,Oryza,nivara
A0A0E0J758,4536,E,Oryza nivara,Oryza,nivara
A0A0E0J893,4536,E,Oryza nivara,Oryza,nivara
A0A0E0JDT0,4537,E,Oryza punctata,Oryza,punctata
A0A0E0JH67,4537,E,Oryza punctata,Oryza,punctata
A0A0E0JN73,4537,E,Oryza punctata,Oryza,punctata
A0A0E0JQC6,4537,E,Oryza punctata,Oryza,punctata
A0A0E0JS14,4537,E,Oryza punctata,Oryza,punctata
A0A0E0JSG5,4537,E,Oryza punctata,Oryza,punctata
A0A0E0JYT7,4537,E,Oryza punctata,Oryza,punctata
A0A0E0JZD0,4537,E,Oryza punctata,Oryza,punctata
A0A0E0K4N7,4537,E,Oryza punctata,Oryza,punctata
A0A0E0KBB1,4537,E,Oryza punctata,Oryza,punctata
A0A0E0KDX9,4537,E,Oryza punctata,Oryza,punctata
A0A0E0KE15,4537,E,Oryza punctata,Oryza,punctata
A0A0E0KG69,4537,E,Oryza punctata,Oryza,punctata
A0A0E0KGY6,4537,E,Oryza punctata,Oryza,punctata
A0A0E0KHA0,4537,E,Oryza punctata,Oryza,punctata
A0A0E0KKD1,4537,E,Oryza punctata,Oryza,punctata
A0A0E0KLU4,4537,E,Oryza punctata,Oryza,punctata
A0A0E0KUZ0,4537,E,Oryza punctata,Oryza,punctata
A0A0E0KV59,4537,E,Oryza punctata,Oryza,punctata
A0A0E0KWF2,4537,E,Oryza punctata,Oryza,punctata
A0A0E0KWZ6,4537,E,Oryza punctata,Oryza,punctata
A0A0E0KYQ1,4537,E,Oryza punctata,Oryza,punctata
A0A0E0L595,4537,E,Oryza punctata,Oryza,punctata
A0A0E0LEC4,4537,E,Oryza punctata,Oryza,punctata
A0A0E0LSS1,4537,E,Oryza punctata,Oryza,punctata
A0A0E0M0F5,4537,E,Oryza punctata,Oryza,punctata
A0A0E0M3D5,4537,E,Oryza punctata,Oryza,punctata
A0A0E0M759,4537,E,Oryza punctata,Oryza,punctata
A0A0E0MFD0,4537,E,Oryza punctata,Oryza,punctata
A0A0E0MGI4,4537,E,Oryza punctata,Oryza,punctata
A0A0E0MV07,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0N1F9,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0N2V8,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0NB12,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0NBZ7,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0NNB7,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0NVC0,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0PBQ9,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0PC25,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0PEU3,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0PJV2,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0PKL0,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0Q2P1,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0QAP7,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0QF27,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0QIC6,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0QKH4,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0QNE7,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0QV64,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0QVQ5,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0R726,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0R8Q1,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0RBI9,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0RBT6,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E0RIH2,4529,E,Oryza rufipogon,Oryza,rufipogon
A0A0E3D7S8,34284,E,Gossypium turneri,Gossypium,turneri
A0A0E3DRD5,53621,E,Tevnia jerichonana,Tevnia,jerichonana
A0A0E3IRI9,862701,E,Sorex bedfordiae,Sorex,bedfordiae
A0A0E3JDA1,354484,E,Acronychia laevis,Acronychia,laevis
A0A0E3KIJ3,133488,E,Picochlorum maculatum,Picochlorum,maculatum
A0A0E3TJH6,1641711,E,Ulva sp. UNA00071828,Ulva, UNA00071828
A0A0E3URG1,27389,E,Aporrectodea rosea,Aporrectodea,rosea
A0A0E3UT50,1642393,E,Bairdiella cf. armata 9615/ B2.61,Bairdiella,cf. armata 9615/ B2.61
A0A0E3XCA8,4097,E,Nicotiana tabacum,Nicotiana,tabacum
A0A0E4B220,5855,E,Plasmodium vivax,Plasmodium,vivax
A0A0E9WSE4,7936,E,Anguilla anguilla,Anguilla,anguilla
A0A0E9WUL8,7936,E,Anguilla anguilla,Anguilla,anguilla
A0A0F4G837,1047168,E,Zymoseptoria brevis,Zymoseptoria,brevis
A0A0F4G8T9,1047168,E,Zymoseptoria brevis,Zymoseptoria,brevis
A0A0F4G933,1047168,E,Zymoseptoria brevis,Zymoseptoria,brevis
A0A0F4GFM0,1047168,E,Zymoseptoria brevis,Zymoseptoria,brevis
A0A0F4GJU0,1047168,E,Zymoseptoria brevis,Zymoseptoria,brevis
A0A0F4GPJ4,1047168,E,Zymoseptoria brevis,Zymoseptoria,brevis
A0A0F4GV25,1047168,E,Zymoseptoria brevis,Zymoseptoria,brevis
A0A0F4ZA77,72032,E,Thielaviopsis punctulata,Thielaviopsis,punctulata
A0A0F4ZAW6,72032,E,Thielaviopsis punctulata,Thielaviopsis,punctulata
A0A0F4ZDZ5,72032,E,Thielaviopsis punctulata,Thielaviopsis,punctulata
A0A0F4ZHE5,72032,E,Thielaviopsis punctulata,Thielaviopsis,punctulata
A0A0F4ZJE7,72032,E,Thielaviopsis punctulata,Thielaviopsis,punctulata
A0A0F4ZKJ3,72032,E,Thielaviopsis punctulata,Thielaviopsis,punctulata
A0A0F5BVR9,54126,E,Pristionchus pacificus,Pristionchus,pacificus
A0A0F5C6A0,54126,E,Pristionchus pacificus,Pristionchus,pacificus
A0A0F5CPF4,54126,E,Pristionchus pacificus,Pristionchus,pacificus
A0A0F5CVI1,54126,E,Pristionchus pacificus,Pristionchus,pacificus
A0A0F5CW68,54126,E,Pristionchus pacificus,Pristionchus,pacificus
A0A0F5D0Q2,54126,E,Pristionchus pacificus,Pristionchus,pacificus
A0A0F6N0S8,34513,E,Terebratalia transversa,Terebratalia,transversa
A0A0F6PV25,53078,E,Paphiopedilum concolor,Paphiopedilum,concolor
A0A0F6Q2X8,1636186,E,Nectria dacryocarpa,Nectria,dacryocarpa
A0A0F6QI16,1643448,E,Hemidactylus adensis,Hemidactylus,adensis
A0A0F6QJN0,1606861,E,Etisus laevimanus,Etisus,laevimanus
A0A0F6T7K2,433907,E,Sporobolus pyramidatus,Sporobolus,pyramidatus
A0A0F7EW86,62621,E,Lepus timidus,Lepus,timidus
A0A0F7G417,1620192,E,Setaria macrosperma,Setaria,macrorma
A0A0F7IPP7,61387,E,Prionailurus rubiginosus,Prionailurus,rubiginosus
A0A0F7RUJ3,49012,E,Sporisorium scitamineum,Sporisorium,scitamineum
A0A0F7RZ91,49012,E,Sporisorium scitamineum,Sporisorium,scitamineum
A0A0F7S231,49012,E,Sporisorium scitamineum,Sporisorium,scitamineum
A0A0F7S2E4,49012,E,Sporisorium scitamineum,Sporisorium,scitamineum
A0A0F7S2Y4,49012,E,Sporisorium scitamineum,Sporisorium,scitamineum
A0A0F7S3X5,49012,E,Sporisorium scitamineum,Sporisorium,scitamineum
A0A0F7S5R9,49012,E,Sporisorium scitamineum,Sporisorium,scitamineum
A0A0F7S7P8,49012,E,Sporisorium scitamineum,Sporisorium,scitamineum
A0A0F7SC07,49012,E,Sporisorium scitamineum,Sporisorium,scitamineum
A0A0F7SFD1,5421,E,Xanthophyllomyces dendrorhous,Xanthophyllomyces,dendrorhous
A0A0F7SFJ1,5421,E,Xanthophyllomyces dendrorhous,Xanthophyllomyces,dendrorhous
A0A0F7SGT2,5421,E,Xanthophyllomyces dendrorhous,Xanthophyllomyces,dendrorhous
A0A0F7SHS5,5421,E,Xanthophyllomyces dendrorhous,Xanthophyllomyces,dendrorhous
A0A0F7SPR0,5421,E,Xanthophyllomyces dendrorhous,Xanthophyllomyces,dendrorhous
A0A0F7TEE8,104259,E,Penicillium brasilianum,Penicillium,brasilianum
A0A0F7THI7,104259,E,Penicillium brasilianum,Penicillium,brasilianum
A0A0F7TP30,104259,E,Penicillium brasilianum,Penicillium,brasilianum
A0A0F7TQ89,104259,E,Penicillium brasilianum,Penicillium,brasilianum
A0A0F7TVW9,104259,E,Penicillium brasilianum,Penicillium,brasilianum
A0A0F7TW36,104259,E,Penicillium brasilianum,Penicillium,brasilianum
A0A0F7TX88,104259,E,Penicillium brasilianum,Penicillium,brasilianum
A0A0F7U0X5,104259,E,Penicillium brasilianum,Penicillium,brasilianum
A0A0F7VF77,104259,E,Penicillium brasilianum,Penicillium,brasilianum
A0A0F7Z170,8729,E,Crotalus adamanteus,Crotalus,adamanteus
A0A0F7Z4A6,8729,E,Crotalus adamanteus,Crotalus,adamanteus
A0A0F7Z755,8729,E,Crotalus adamanteus,Crotalus,adamanteus
A0A0F7ZBF4,8729,E,Crotalus adamanteus,Crotalus,adamanteus
A0A0F7ZDF3,8729,E,Crotalus adamanteus,Crotalus,adamanteus
A0A0F8ACZ6,215358,E,Larimichthys crocea,Larimichthys,crocea
A0A0F8AF85,215358,E,Larimichthys crocea,Larimichthys,crocea
A0A0F8AHP2,215358,E,Larimichthys crocea,Larimichthys,crocea
A0A0F8AJ36,215358,E,Larimichthys crocea,Larimichthys,crocea
A0A0F8ANT8,215358,E,Larimichthys crocea,Larimichthys,crocea
A0A0F8AQ89,215358,E,Larimichthys crocea,Larimichthys,crocea
A0A0F8ASJ4,215358,E,Larimichthys crocea,Larimichthys,crocea
A0A0F8B6P3,88771,E,Ceratocystis platani,Ceratocystis,platani
A0A0F8BIR2,215358,E,Larimichthys crocea,Larimichthys,crocea
A0A0F8BND6,215358,E,Larimichthys crocea,Larimichthys,crocea
A0A0F8C8H6,215358,E,Larimichthys crocea,Larimichthys,crocea
A0A0F8CBQ4,215358,E,Larimichthys crocea,Larimichthys,crocea
A0A0F8CCE1,215358,E,Larimichthys crocea,Larimichthys,crocea
A0A0F8CHA8,215358,E,Larimichthys crocea,Larimichthys,crocea
A0A0F8CJU0,215358,E,Larimichthys crocea,Larimichthys,crocea
A0A0F8CLX8,215358,E,Larimichthys crocea,Larimichthys,crocea
A0A0F8CUN0,88771,E,Ceratocystis platani,Ceratocystis,platani
A0A0F8D7G2,88771,E,Ceratocystis platani,Ceratocystis,platani
A0A0F8TY30,308745,E,Aspergillus rambellii,Aspergillus,rambellii
A0A0F8U683,138278,E,Aspergillus ochraceoroseus,Aspergillus,ochraceoroseus
A0A0F8U6I6,138278,E,Aspergillus ochraceoroseus,Aspergillus,ochraceoroseus
A0A0F8UEA6,138278,E,Aspergillus ochraceoroseus,Aspergillus,ochraceoroseus
A0A0F8UG43,138278,E,Aspergillus ochraceoroseus,Aspergillus,ochraceoroseus
A0A0F8UVE7,138278,E,Aspergillus ochraceoroseus,Aspergillus,ochraceoroseus
A0A0F8UZV6,138278,E,Aspergillus ochraceoroseus,Aspergillus,ochraceoroseus
A0A0F8VA35,138278,E,Aspergillus ochraceoroseus,Aspergillus,ochraceoroseus
A0A0F8VBL3,308745,E,Aspergillus rambellii,Aspergillus,rambellii
A0A0F8VC91,308745,E,Aspergillus rambellii,Aspergillus,rambellii
A0A0F8VEJ8,138278,E,Aspergillus ochraceoroseus,Aspergillus,ochraceoroseus
A0A0F8VFM0,308745,E,Aspergillus rambellii,Aspergillus,rambellii
A0A0F8WVF4,138278,E,Aspergillus ochraceoroseus,Aspergillus,ochraceoroseus
A0A0F8WWW1,308745,E,Aspergillus rambellii,Aspergillus,rambellii
A0A0F8X4G5,138278,E,Aspergillus ochraceoroseus,Aspergillus,ochraceoroseus
A0A0F8XIM4,308745,E,Aspergillus rambellii,Aspergillus,rambellii
A0A0F8XU27,308745,E,Aspergillus rambellii,Aspergillus,rambellii
A0A0F9XA82,5544,E,Trichoderma harzianum,Trichoderma,harzianum
A0A0F9Y6J2,5544,E,Trichoderma harzianum,Trichoderma,harzianum
A0A0F9ZGR0,5544,E,Trichoderma harzianum,Trichoderma,harzianum
A0A0G2ECD2,158046,E,Phaeomoniella chlamydospora,Phaeomoniella,chlamydora
A0A0G2EFP1,158046,E,Phaeomoniella chlamydospora,Phaeomoniella,chlamydora
A0A0G2EJ05,420778,E,Diplodia seriata,Diplodia,seriata
A0A0G2F4A2,158046,E,Phaeomoniella chlamydospora,Phaeomoniella,chlamydora
A0A0G2FB52,1214573,E,Diaporthe ampelina,Diaporthe,ampelina
A0A0G2FYD5,1214573,E,Diaporthe ampelina,Diaporthe,ampelina
A0A0G2G6N1,158046,E,Phaeomoniella chlamydospora,Phaeomoniella,chlamydora
A0A0G2GV16,420778,E,Diplodia seriata,Diplodia,seriata
A0A0G2HJK0,420778,E,Diplodia seriata,Diplodia,seriata
A0A0G2I046,1214573,E,Diaporthe ampelina,Diaporthe,ampelina
A0A0G2JQK5,9606,E,Homo sapiens,Homo,sapiens
A0A0G2JV95,10116,E,Rattus norvegicus,Rattus,norvegicus
A0A0G2K0Q7,10116,E,Rattus norvegicus,Rattus,norvegicus
A0A0G2K142,10116,E,Rattus norvegicus,Rattus,norvegicus
A0A0G2K219,10116,E,Rattus norvegicus,Rattus,norvegicus
A0A0G2K463,10116,E,Rattus norvegicus,Rattus,norvegicus
A0A0G2K527,10116,E,Rattus norvegicus,Rattus,norvegicus
A0A0G2L0N1,7955,E,Danio rerio,Danio,rerio
A0A0G2QTF4,1439716,E,Niviventer sp. 1 LL-2013,Niviventer, 1 LL-2013
A0A0G2R748,1548250,E,Chelator sp. IDesm205,Chelator, IDesm205
A0A0G2RBB2,86979,E,Xerophyllum tenax,Xerophyllum,tenax
A0A0G2RH97,48975,E,Mesophyllum erubescens,Mesophyllum,erubescens
A0A0G2RI74,1034350,E,Jania sagittata,Jania,sagittata
A0A0G3FDU8,1663161,E,Ceratosolen sp. CSM5-XTBG,Ceratosolen, CSM5-XTBG
A0A0G3Z6M0,9823,E,Sus scrofa,Sus,scrofa
A0A0G3ZH82,1657136,E,Polymerus diffusus,Polymerus,diffusus
A0A0G3ZWV0,1656466,E,Erythroneura ontari,Erythroneura,ontari
A0A0G3ZYF5,1656625,E,Macropsis basalis,Macropsis,basalis
A0A0G4AM06,23250,E,Francoa sonchifolia,Francoa,sonchifolia
A0A0G4IHR8,37360,E,Plasmodiophora brassicae,Plasmodiophora,brassicae
A0A0G4IMA8,37360,E,Plasmodiophora brassicae,Plasmodiophora,brassicae
A0A0G4ITP4,37360,E,Plasmodiophora brassicae,Plasmodiophora,brassicae
A0A0G4IUV8,37360,E,Plasmodiophora brassicae,Plasmodiophora,brassicae
A0A0G4IXN6,37360,E,Plasmodiophora brassicae,Plasmodiophora,brassicae
A0A0G4J2C3,37360,E,Plasmodiophora brassicae,Plasmodiophora,brassicae
A0A0G4J6V5,37360,E,Plasmodiophora brassicae,Plasmodiophora,brassicae
A0A0G4J7Z4,37360,E,Plasmodiophora brassicae,Plasmodiophora,brassicae
A0A0G4KW74,100787,E,Verticillium longisporum,Verticillium,longirum
A0A0G4KWF3,100787,E,Verticillium longisporum,Verticillium,longirum
A0A0G4L6E2,100787,E,Verticillium longisporum,Verticillium,longirum
A0A0G4L7S3,100787,E,Verticillium longisporum,Verticillium,longirum
A0A0G4LEB7,100787,E,Verticillium longisporum,Verticillium,longirum
A0A0G4LI80,100787,E,Verticillium longisporum,Verticillium,longirum
A0A0G4LLQ1,100787,E,Verticillium longisporum,Verticillium,longirum
A0A0G4LRN1,100787,E,Verticillium longisporum,Verticillium,longirum
A0A0G4LXB9,100787,E,Verticillium longisporum,Verticillium,longirum
A0A0G4MA09,100787,E,Verticillium longisporum,Verticillium,longirum
A0A0G4MS13,100787,E,Verticillium longisporum,Verticillium,longirum
A0A0G4MVJ4,100787,E,Verticillium longisporum,Verticillium,longirum
A0A0G4MWA0,100787,E,Verticillium longisporum,Verticillium,longirum
A0A0G4NFZ4,100787,E,Verticillium longisporum,Verticillium,longirum
A0A0G4NH89,100787,E,Verticillium longisporum,Verticillium,longirum
A0A0G4NIP1,100787,E,Verticillium longisporum,Verticillium,longirum
A0A0H2RF10,27342,E,Schizopora paradoxa,Schizopora,paradoxa
A0A0H2RNP6,27342,E,Schizopora paradoxa,Schizopora,paradoxa
A0A0H2RUA0,27342,E,Schizopora paradoxa,Schizopora,paradoxa
A0A0H2S1L7,27342,E,Schizopora paradoxa,Schizopora,paradoxa
A0A0H2S310,27342,E,Schizopora paradoxa,Schizopora,paradoxa
A0A0H2S5I4,27342,E,Schizopora paradoxa,Schizopora,paradoxa
A0A0H2S8Y7,27342,E,Schizopora paradoxa,Schizopora,paradoxa
A0A0H2SL04,27342,E,Schizopora paradoxa,Schizopora,paradoxa
A0A0H2UJH4,7955,E,Danio rerio,Danio,rerio
A0A0H3U926,45130,E,Bipolaris sorokiniana,Bipolaris,sorokiniana
A0A0H3W9C5,52575,E,Phrynosoma ditmarsi,Phrynosoma,ditmarsi
A0A0H4BHB6,140083,E,Kikihia ochrina,Kikihia,ochrina
A0A0H4BN29,118696,E,Nicotiana forgetiana,Nicotiana,forgetiana
A0A0H4JVM6,1675117,E,Geometridae sp. BOLD:ACK5418,Geometridae, BOLD:ACK5418
A0A0H4ST96,235777,E,Orophea creaghii,Orophea,creaghii
A0A0H4SUX0,1679842,E,Zanthoxylum sp. BB0476,Zanthoxylum, BB0476
A0A0H4SWY2,76967,E,Glycosmis pentaphylla,Glycosmis,pentaphylla
A0A0H4SWZ3,497606,E,Goniothalamus cheliensis,Goniothalamus,cheliensis
A0A0H4TFR7,462830,E,Ficus hispida,Ficus,hida
A0A0H4TLP6,1680283,E,Polyura sp. POLYU053-15,Polyura, POLYU053-15
A0A0H4VX14,508478,E,Plethodontohyla bipunctata,Plethodontohyla,bipunctata
A0A0H5BRA1,69293,E,Gasterosteus aculeatus,Gasterosteus,aculeatus
A0A0H5C1E9,4903,E,Cyberlindnera jadinii,Cyberlindnera,jadinii
A0A0H5C6E8,4903,E,Cyberlindnera jadinii,Cyberlindnera,jadinii
A0A0H5C6T2,4903,E,Cyberlindnera jadinii,Cyberlindnera,jadinii
A0A0H5C9C3,4903,E,Cyberlindnera jadinii,Cyberlindnera,jadinii
A0A0H5CBF5,4903,E,Cyberlindnera jadinii,Cyberlindnera,jadinii
A0A0H5QWD0,70186,E,Spongospora subterranea,Spongospora,subterranea
A0A0H5RLS1,70186,E,Spongospora subterranea,Spongospora,subterranea
A0A0H5RTT8,70186,E,Spongospora subterranea,Spongospora,subterranea
A0A0H5RUB1,70186,E,Spongospora subterranea,Spongospora,subterranea
A0A0H5S3W2,6279,E,Brugia malayi,Brugia,malayi
