index,domainID,domainFamilyDescription
619,PF01207,Dihydrouridinesynthase(Dus)
620,PF01210,NAD-dependentglycerol-3-phosphatedehydrogenaseN-terminus
621,PF01213,Adenylatecyclaseassociated(CAP)Nterminal
622,PF01217,Clathrinadaptorcomplexsmallchain
623,PF01218,CoproporphyrinogenIIIoxidase
624,PF01221,Dyneinlightchaintype1
625,PF01223,DNA/RNAnon-specificendonuclease
626,PF01225,Murligasefamily: catalyticdomain
627,PF01230,HITdomain
628,PF01231,Indoleamine2: 3-dioxygenase
629,PF01234,NNMT/PNMT/TEMTfamily
630,PF01237,Oxysterol-bindingprotein
631,PF01238,PhosphomannoseisomerasetypeI
632,PF01239,Proteinprenyltransferasealphasubunitrepeat
633,PF01245,RibosomalproteinL19
634,PF01246,RibosomalproteinL24e
635,PF01248,RibosomalproteinL7Ae/L30e/S12e/Gadd45family
636,PF01249,RibosomalproteinS21e
637,PF01251,RibosomalproteinS7e
638,PF01265,Cytochromec/c1hemelyase
639,PF01266,FADdependentoxidoreductase
640,PF01269,Fibrillarin
641,PF01273,LBP/BPI/CETPfamily: N-terminaldomain
642,PF01274,Malatesynthase
643,PF01279,Parathyroidhormonefamily
644,PF01287,Eukaryoticelongationfactor5Ahypusine: DNA-bindingOBfold
645,PF01290,Thymosinbeta-4family
646,PF01300,Telomererecombination
647,PF01302,CAP-Glydomain
648,PF01328,Peroxidase: family2
649,PF01335,Deatheffectordomain
650,PF01336,OB-foldnucleicacidbindingdomain
651,PF01344,Kelchmotif
652,PF01348,TypeIIintronmaturase
653,PF01352,KRABbox
654,PF01357,ExpansinC-terminaldomain
655,PF01359,Transposase(partialDDEdomain)
656,PF01363,FYVEzincfinger
657,PF01365,RIHdomain
658,PF01369,Sec7domain
659,PF01370,NADdependentepimerase/dehydratasefamily
660,PF01380,SISdomain
661,PF01384,Phosphatetransporterfamily
662,PF01388,ARID/BRIGHTDNAbindingdomain
663,PF01390,SEAdomain
664,PF01391,Collagentriplehelixrepeat(20copies)
665,PF01392,Fzdomain
666,PF01394,Clathrinpropellerrepeat
667,PF01395,PBP/GOBPfamily
668,PF01397,Terpenesynthase: N-terminaldomain
669,PF01398,JAB1/Mov34/MPN/PAD-1ubiquitinprotease
670,PF01399,PCIdomain
671,PF01400,Astacin(PeptidasefamilyM12A)
672,PF01401,Angiotensin-convertingenzyme
673,PF01403,Semadomain
674,PF01404,Ephrinreceptorligandbindingdomain
675,PF01405,PhotosystemIIreactioncentreTprotein
676,PF01409,tRNAsynthetasesclassIIcoredomain(F)
677,PF01411,tRNAsynthetasesclassII(A)
678,PF01412,PutativeGTPaseactivatingproteinforArf
679,PF01413,C-terminaltandemrepeateddomainintype4procollagen
680,PF01415,Interleukin7
681,PF01417,ENTHdomain
682,PF01419,Jacalin-likelectindomain
683,PF01422,NF-X1typezincfinger
684,PF01423,LSMdomain
685,PF01424,R3Hdomain
686,PF01425,Amidase
687,PF01426,BAHdomain
688,PF01428,AN1-likeZincfinger
689,PF01431,PeptidasefamilyM13
690,PF01432,PeptidasefamilyM3
691,PF01433,PeptidasefamilyM1domain
692,PF01434,PeptidasefamilyM41
693,PF01436,NHLrepeat
694,PF01437,Plexinrepeat
695,PF01442,ApolipoproteinA1/A4/Edomain
696,PF01448,ELM2domain
697,PF01451,Lowmolecularweightphosphotyrosineproteinphosphatase
698,PF01453,D-mannosebindinglectin
699,PF01454,MAGEfamily
700,PF01457,Leishmanolysin
701,PF01458,SUFsystemFeSclusterassembly: SufBD
702,PF01459,Eukaryoticporin
703,PF01462,LeucinerichrepeatN-terminaldomain
704,PF01463,LeucinerichrepeatC-terminaldomain
705,PF01465,GRIPdomain
706,PF01466,Skp1family: dimerisationdomain
707,PF01467,Cytidylyltransferase-like
708,PF01476,LysMdomain
709,PF01479,S4domain
710,PF01480,PWIdomain
711,PF01483,ProproteinconvertaseP-domain
712,PF01485,IBRdomain: ahalfRING-fingerdomain
713,PF01486,K-boxregion
714,PF01490,Transmembraneaminoacidtransporterprotein
715,PF01494,FADbindingdomain
716,PF01501,Glycosyltransferasefamily8
717,PF01503,Phosphoribosyl-ATPpyrophosphohydrolase
718,PF01504,Phosphatidylinositol-4-phosphate5-Kinase
719,PF01505,MajorVaultProteinrepeatdomain
720,PF01507,Phosphoadenosinephosphosulfatereductasefamily
721,PF01509,TruBfamilypseudouridylatesynthase(Nterminaldomain)
722,PF01522,Polysaccharidedeacetylase
723,PF01529,DHHCpalmitoyltransferase
724,PF01530,Zincfinger: C2HCtype
725,PF01532,Glycosylhydrolasefamily47
726,PF01534,Frizzled/Smoothenedfamilymembraneregion
727,PF01535,PPRrepeat
728,PF01544,CorA-likeMg2+transporterprotein
729,PF01545,Cationeffluxfamily
730,PF01546,PeptidasefamilyM20/M25/M40
731,PF01549,ShKdomain-like
732,PF01553,Acyltransferase
733,PF01554,MatE
734,PF01556,DnaJCterminaldomain
735,PF01559,Zeinseedstorageprotein
736,PF01562,Reprolysinfamilypropeptide
737,PF01565,FADbindingdomain
738,PF01569,PAP2superfamily
739,PF01571,Aminomethyltransferasefolate-bindingdomain
740,PF01576,Myosintail
741,PF01578,CytochromeCassemblyprotein
742,PF01579,Domainofunknownfunction(DUF19)
743,PF01581,FMRFamiderelatedpeptidefamily
744,PF01582,TIRdomain
745,PF01585,G-patchdomain
746,PF01588,PutativetRNAbindingdomain
747,PF01590,GAFdomain
748,PF01591,6-phosphofructo-2-kinase
749,PF01592,NifU-likeNterminaldomain
750,PF01593,Flavincontainingamineoxidoreductase
751,PF01595,CyclinMtransmembraneN-terminaldomain
752,PF01597,GlycinecleavageH-protein
753,PF01599,RibosomalproteinS27a
754,PF01602,AdaptinNterminalregion
755,PF01603,Proteinphosphatase2AregulatoryBsubunit(B56family)
756,PF01607,ChitinbindingPeritrophin-Adomain
757,PF01608,I/LWEQdomain
758,PF01612,3'-5'exonuclease
759,PF01624,MutSdomainI
760,PF01630,Hyaluronidase
761,PF01636,Phosphotransferaseenzymefamily
762,PF01643,Acyl-ACPthioesterase
763,PF01644,Chitinsynthase
764,PF01650,PeptidaseC13family
765,PF01652,Eukaryoticinitiationfactor4E
766,PF01655,RibosomalproteinL32
767,PF01657,Saltstressresponse/antifungal
768,PF01661,Macrodomain
769,PF01663,TypeIphosphodiesterase/nucleotidepyrophosphatase
770,PF01676,Metalloenzymesuperfamily
771,PF01681,C6domain
772,PF01682,DBmodule
773,PF01683,EBmodule
774,PF01687,Riboflavinkinase
775,PF01694,Rhomboidfamily
776,PF01697,Glycosyltransferasefamily92
777,PF01699,Sodium/calciumexchangerprotein
778,PF01701,PhotosystemIreactioncentresubunitIX/PsaJ
779,PF01704,UTP--glucose-1-phosphateuridylyltransferase
780,PF01709,Transcriptionalregulator
781,PF01722,BolA-likeprotein
782,PF01728,FtsJ-likemethyltransferase
783,PF01734,Patatin-likephospholipase
784,PF01735,Lysophospholipasecatalyticdomain
785,PF01737,YCF9
786,PF01738,Dienelactonehydrolasefamily
787,PF01740,STASdomain
788,PF01746,tRNA(Guanine-1)-methyltransferase
789,PF01751,Toprimdomain
790,PF01753,MYNDfinger
791,PF01754,A20-likezincfinger
792,PF01756,Acyl-CoAoxidase
793,PF01757,Acyltransferasefamily
794,PF01759,UNC-6/NTR/C345Cmodule
795,PF01761,3-dehydroquinatesynthase
796,PF01762,Galactosyltransferase
797,PF01764,Lipase(class3)
798,PF01765,Ribosomerecyclingfactor
799,PF01770,Reducedfolatecarrier
800,PF01773,Na+dependentnucleosidetransporterN-terminus
801,PF01775,Ribosomalproteins50S-L18Ae/60S-L20/60S-L18A
802,PF01778,RibosomalL28eproteinfamily
803,PF01782,RimMN-terminaldomain
804,PF01783,RibosomalL32pproteinfamily
805,PF01788,PsbJ
806,PF01794,Ferricreductaseliketransmembranecomponent
807,PF01798,snoRNAbindingdomain: fibrillarin
808,PF01799,[2Fe-2S]bindingdomain
809,PF01805,Surpmodule
810,PF01812,5-formyltetrahydrofolatecyclo-ligasefamily
811,PF01813,ATPsynthasesubunitD
812,PF01822,WSCdomain
813,PF01824,MatK/TrnKaminoterminalregion
814,PF01825,GPCRproteolysissite: GPS: motif
815,PF01826,TrypsinInhibitorlikecysteinerichdomain
816,PF01833,IPT/TIGdomain
817,PF01839,FG-GAPrepeat
818,PF01840,TCL1/MTCP1family
819,PF01842,ACTdomain
820,PF01843,DILdomain
821,PF01846,FFdomain
822,PF01847,VHLbetadomain
823,PF01849,NACdomain
824,PF01852,STARTdomain
825,PF01858,Retinoblastoma-associatedproteinAdomain
826,PF01873,DomainfoundinIF2B/IF5
827,PF01900,Rpp14/Pop5family
828,PF01902,Diphthamidesynthase
829,PF01907,RibosomalproteinL37e
830,PF01916,Deoxyhypusinesynthase
831,PF01920,Prefoldinsubunit
832,PF01925,SulfiteexporterTauE/SafE
833,PF01926,50Sribosome-bindingGTPase
834,PF01929,RibosomalproteinL14
835,PF01951,Archeaseproteinfamily(MTH1598/TM1083)
836,PF01956,IntegralmembraneproteinEMC3/TMCO1-like
837,PF01963,TraBfamily
838,PF01965,DJ-1/PfpIfamily
839,PF01966,HDdomain
840,PF01968,Hydantoinase/oxoprolinase
841,PF01974,tRNAintronendonuclease: catalyticC-terminaldomain
842,PF01979,Amidohydrolasefamily
843,PF02005,N2: N2-dimethylguanosinetRNAmethyltransferase
844,PF02009,Rifin
845,PF02010,REJdomain
846,PF02014,Reelerdomain
847,PF02017,CIDE-Ndomain
848,PF02020,eIF4-gamma/eIF5/eIF2-epsilon
849,PF02023,SCANdomain
850,PF02026,RyRdomain
851,PF02036,SCP-2steroltransferfamily
852,PF02037,SAPdomain
853,PF02042,RWP-RKdomain
854,PF02046,CytochromecoxidasesubunitVIa
855,PF02076,PheromoneAreceptor
856,PF02084,Bindin
857,PF02089,Palmitoylproteinthioesterase
858,PF02095,Extensin-likeproteinrepeat
859,PF02096,60Kdinnermembraneprotein
860,PF02099,Josephin
861,PF02104,SURF1family
862,PF02109,DADfamily
863,PF02112,cAMPphosphodiesterasesclass-II
864,PF02114,Phosducin
865,PF02116,FungalpheromonematingfactorSTE2GPCR
866,PF02121,Phosphatidylinositoltransferprotein
867,PF02130,UncharacterizedproteinfamilyUPF0054
868,PF02135,TAZzincfinger
869,PF02136,Nucleartransportfactor2(NTF2)domain
870,PF02137,Adenosine-deaminase(editase)domain
871,PF02138,Beige/BEACHdomain
872,PF02140,Galactosebindinglectindomain
873,PF02141,DENN(AEX-3)domain
874,PF02145,Rap/ran-GAP
875,PF02146,Sir2family
876,PF02148,Zn-fingerinubiquitin-hydrolasesandotherprotein
877,PF02149,Kinaseassociateddomain1
878,PF02151,UvrB/uvrCmotif
879,PF02153,Prephenatedehydrogenase
880,PF02156,Glycosylhydrolasefamily26
881,PF02167,CytochromeC1family
882,PF02170,PAZdomain
883,PF02171,Piwidomain
884,PF02174,PTBdomain(IRS-1type)
885,PF02176,TRAF-typezincfinger
886,PF02179,BAGdomain
887,PF02180,Bcl-2homologyregion4
888,PF02181,ForminHomology2Domain
889,PF02183,Homeoboxassociatedleucinezipper
890,PF02184,HAT(Half-A-TPR)repeat
891,PF02185,Hr1repeat
892,PF02187,Growth-Arrest-SpecificProtein2Domain
893,PF02188,GoLocomotif
894,PF02190,ATP-dependentproteaseLa(LON)substrate-bindingdomain
895,PF02191,Olfactomedin-likedomain
896,PF02194,PXAdomain
897,PF02195,ParB-likenucleasedomain
898,PF02196,Raf-likeRas-bindingdomain
899,PF02198,Sterilealphamotif(SAM)/Pointeddomain
900,PF02199,SaposinA-typedomain
901,PF02201,SWIB/MDM2domain
902,PF02204,Vacuolarsortingprotein9(VPS9)domain
903,PF02205,WH2motif
904,PF02207,PutativezincfingerinN-recognin(UBRbox)
905,PF02208,Sorbinhomologousdomain
906,PF02209,Villinheadpiecedomain
907,PF02210,LamininGdomain
908,PF02212,DynaminGTPaseeffectordomain
909,PF02214,BTB/POZdomain
910,PF02219,Methylenetetrahydrofolatereductase
911,PF02221,MLdomain
912,PF02230,Phospholipase/Carboxylesterase
913,PF02234,Cyclin-dependentkinaseinhibitor
914,PF02244,Carboxypeptidaseactivationpeptide
915,PF02252,Proteasomeactivatorpa28betasubunit
916,PF02254,TrkA-Ndomain
917,PF02259,FATdomain
918,PF02260,FATCdomain
919,PF02262,CBLproto-oncogeneN-terminaldomain1
920,PF02290,Signalrecognitionparticle14kDprotein
921,PF02296,AlphaadaptinAP2: C-terminaldomain
922,PF02297,CytochromeoxidasecsubunitVIb
923,PF02301,HORMAdomain
924,PF02309,AUX/IAAfamily
925,PF02318,FYVE-typezincfinger
926,PF02338,OTU-likecysteineprotease
927,PF02341,RbcXprotein
928,PF02347,GlycinecleavagesystemP-protein
929,PF02348,Cytidylyltransferase
930,PF02354,LatrophilinCytoplasmicC-terminalregion
931,PF02362,B3DNAbindingdomain
932,PF02363,Cysteinerichrepeat
933,PF02364,1: 3-beta-glucansynthasecomponent
934,PF02366,Dolichyl-phosphate-mannose-proteinmannosyltransferase
935,PF02373,JmjCdomain: hydroxylase
936,PF02376,CUTdomain
937,PF02383,SacIhomologydomain
938,PF02390,Putativemethyltransferase
939,PF02392,Ycf4
940,PF02412,Thrombospondintype3repeat
941,PF02419,PsbLprotein
942,PF02430,Apicalmembraneantigen1
943,PF02434,Fringe-like
944,PF02437,SKI/SNO/DACfamily
945,PF02453,Reticulon
946,PF02458,Transferasefamily
947,PF02460,Patchedfamily
948,PF02463,RecF/RecN/SMCNterminaldomain
949,PF02466,Tim17/Tim22/Tim23/Pmp24family
950,PF02468,PhotosystemIIreactioncentreNprotein(psbN)
951,PF02469,Fasciclindomain
952,PF02475,Met-10+like-protein
953,PF02485,Core-2/I-Branchingenzyme
954,PF02493,MORNrepeat
955,PF02513,Spin/SstyFamily
956,PF02515,CoA-transferasefamilyIII
957,PF02517,CPBPintramembranemetalloprotease
958,PF02518,Histidinekinase-: DNAgyraseB-: andHSP90-likeATPase
959,PF02519,Auxinresponsiveprotein
960,PF02532,PhotosystemIIreactioncentreIprotein(PSII4.8kDaprotein)
961,PF02536,mTERF
962,PF02538,HydantoinaseB/oxoprolinase
963,PF02540,NADsynthase
964,PF02544,3-oxo-5-alpha-steroid4-dehydrogenase
965,PF02586,SOSresponseassociatedpeptidase(SRAP)
966,PF02615,Malate/L-lactatedehydrogenase
967,PF02637,GatBdomain
968,PF02666,Phosphatidylserinedecarboxylase
969,PF02668,TaurinecatabolismdioxygenaseTauD: TfdAfamily
970,PF02681,DivergentPAP2family
971,PF02701,Dofdomain: zincfinger
972,PF02705,K+potassiumtransporter
973,PF02709,N-terminaldomainofgalactosyltransferase
974,PF02714,Calcium-dependentchannel: 7TMregion: putativephosphate
975,PF02728,Copperamineoxidase: N3domain
976,PF02732,ERCC4domain
977,PF02734,DAK2domain
978,PF02736,MyosinN-terminalSH3-likedomain
979,PF02737,3-hydroxyacyl-CoAdehydrogenase: NADbindingdomain
980,PF02738,Molybdopterin-bindingdomainofaldehydedehydrogenase
981,PF02752,Arrestin(orS-antigen): C-terminaldomain
982,PF02755,RPELrepeat
983,PF02757,YLPmotif
984,PF02758,PAAD/DAPIN/Pyrindomain
985,PF02759,RUNdomain
986,PF02761,CBLproto-oncogeneN-terminus: EFhand-likedomain
987,PF02769,AIRsynthaserelatedprotein: C-terminaldomain
988,PF02770,Acyl-CoAdehydrogenase: middledomain
989,PF02771,Acyl-CoAdehydrogenase: N-terminaldomain
990,PF02772,S-adenosylmethioninesynthetase: centraldomain
991,PF02773,S-adenosylmethioninesynthetase: C-terminaldomain
992,PF02776,Thiaminepyrophosphateenzyme: N-terminalTPPbindingdomain
993,PF02777,Iron/manganesesuperoxidedismutases: C-terminaldomain
994,PF02779,Transketolase: pyrimidinebindingdomain
995,PF02780,Transketolase: C-terminaldomain
996,PF02781,Glucose-6-phosphatedehydrogenase: C-terminaldomain
997,PF02782,FGGYfamilyofcarbohydratekinases: C-terminaldomain
998,PF02784,Pyridoxal-dependentdecarboxylase: pyridoxalbindingdomain
999,PF02785,BiotincarboxylaseC-terminaldomain
1000,PF02786,Carbamoyl-phosphatesynthaseLchain: ATPbindingdomain
1001,PF02787,Carbamoyl-phosphatesynthetaselargechain: oligomerisationdomain
1002,PF02788,Ribulosebisphosphatecarboxylaselargechain: N-terminaldomain
1003,PF02790,CytochromeCoxidasesubunitII: transmembranedomain
1004,PF02792,Magonashiprotein
1005,PF02797,Chalconeandstilbenesynthases: C-terminaldomain
1006,PF02798,GlutathioneS-transferase: N-terminaldomain
1007,PF02800,Glyceraldehyde3-phosphatedehydrogenase: C-terminaldomain
1008,PF02801,Beta-ketoacylsynthase: C-terminaldomain
1009,PF02806,Alphaamylase: C-terminalall-betadomain
1010,PF02807,ATP:guanidophosphotransferase: N-terminaldomain
1011,PF02809,Ubiquitininteractionmotif
1012,PF02815,MIRdomain
1013,PF02816,Alpha-kinasefamily
1014,PF02820,mbtrepeat
1015,PF02822,Antistasinfamily
1016,PF02823,ATPsynthase: Delta/Epsilonchain: beta-sandwichdomain
1017,PF02824,TGSdomain
1018,PF02826,D-isomerspecific2-hydroxyaciddehydrogenase: NADbindingdomain
1019,PF02828,L27domain
1020,PF02840,Prp18domain
1021,PF02843,Phosphoribosylglycinamidesynthetase: Cdomain
1022,PF02845,CUEdomain
1023,PF02847,MA3domain
1024,PF02852,Pyridinenucleotide-disulphideoxidoreductase: dimerisationdomain
1025,PF02854,MIF4Gdomain
1026,PF02862,DDHDdomain
1027,PF02865,STATprotein: proteininteractiondomain
1028,PF02866,lactate/malatedehydrogenase: alpha/betaC-terminaldomain
1029,PF02874,ATPsynthasealpha/betafamily: beta-barreldomain
1030,PF02878,Phosphoglucomutase/phosphomannomutase: alpha/beta/alphadomainI
1031,PF02879,Phosphoglucomutase/phosphomannomutase: alpha/beta/alphadomainII
1032,PF02881,SRP54-typeprotein: helicalbundledomain
1033,PF02882,Tetrahydrofolatedehydrogenase/cyclohydrolase: NAD(P)-bindingdomain
1034,PF02883,AdaptinC-terminaldomain
1035,PF02886,LBP/BPI/CETPfamily: C-terminaldomain
1036,PF02887,Pyruvatekinase: alpha/betadomain
1037,PF02889,Sec63Brldomain
1038,PF02891,MIZ/SP-RINGzincfinger
1039,PF02892,BEDzincfinger
1040,PF02893,GRAMdomain
1041,PF02894,Oxidoreductasefamily: C-terminalalpha/betadomain
1042,PF02906,Irononlyhydrogenaselargesubunit: C-terminaldomain
1043,PF02913,FADlinkedoxidases: C-terminaldomain
1044,PF02926,THUMPdomain
1045,PF02928,C5HC2zincfinger
1046,PF02931,Neurotransmitter-gatedion-channelligandbindingdomain
1047,PF02932,Neurotransmitter-gatedion-channeltransmembraneregion
1048,PF02933,Celldivisionprotein48(CDC48): domain2
1049,PF02936,CytochromecoxidasesubunitIV
1050,PF02943,Ferredoxinthioredoxinreductasecatalyticbetachain
1051,PF02944,BESSmotif
1052,PF02949,7tmOdorantreceptor
1053,PF02950,Conotoxin
1054,PF02953,Tim10/DDPfamilyzincfinger
1055,PF02958,Ecdysteroidkinase
1056,PF02969,TATAboxbindingproteinassociatedfactor(TAF)
1057,PF02970,TubulinbindingcofactorA
1058,PF02978,Signalpeptidebindingdomain
1059,PF02985,HEATrepeat
1060,PF02987,Lateembryogenesisabundantprotein
1061,PF02990,Endomembraneprotein70
1062,PF02991,AutophagyproteinAtg8ubiquitinlike
1063,PF02992,Transposasefamilytnp2
1064,PF02995,Proteinofunknownfunction(DUF229)
1065,PF02996,Prefoldinsubunit
1066,PF03002,Somatostatin/Cortistatinfamily
1067,PF03016,Exostosinfamily
1068,PF03018,Dirigent-likeprotein
1069,PF03022,Majorroyaljellyprotein
1070,PF03024,Folatereceptorfamily
1071,PF03028,DyneinheavychainregionD6P-loopdomain
1072,PF03031,NLIinteractingfactor-likephosphatase
1073,PF03032,Frogskinactivepeptidefamilysignalandpropeptide
1074,PF03033,Glycosyltransferasefamily28N-terminaldomain
1075,PF03034,Phosphatidylserinesynthase
1076,PF03045,DANdomain
1077,PF03051,PeptidaseC1-likefamily
1078,PF03061,Thioesterasesuperfamily
1079,PF03062,MBOAT: membrane-boundO-acyltransferasefamily
1080,PF03071,GNT-Ifamily
1081,PF03079,ARD/ARD'family
1082,PF03083,Sugareffluxtransporterforintercellularexchange
1083,PF03087,Arabidopsisproteinofunknownfunction
1084,PF03089,Recombinationactivatingprotein2
1085,PF03095,Phosphotyrosylphosphateactivator(PTPA)protein
1086,PF03096,Ndrfamily
1087,PF03097,BRO1-likedomain
1088,PF03098,Animalhaemperoxidase
1089,PF03104,DNApolymerasefamilyB: exonucleasedomain
1090,PF03105,SPXdomain
1091,PF03106,WRKYDNA-bindingdomain
1092,PF03107,C1domain
1093,PF03109,ABC1family
1094,PF03110,SBPdomain
1095,PF03114,BARdomain
1096,PF03118,BacterialRNApolymerase: alphachainCterminaldomain
1097,PF03124,EXSfamily
1098,PF03125,C.elegansSreGprotein-coupledchemoreceptor
1099,PF03126,Plus-3domain
1100,PF03127,GATdomain
1101,PF03129,Anticodonbindingdomain
1102,PF03131,bZIPMaftranscriptionfactor
1103,PF03133,Tubulin-tyrosineligasefamily
1104,PF03134,TB2/DP1: HVA22family
1105,PF03137,OrganicAnionTransporterPolypeptide(OATP)family
1106,PF03140,Plantproteinofunknownfunction
1107,PF03141,PutativeS-adenosyl-L-methionine-dependentmethyltransferase
1108,PF03143,ElongationfactorTuC-terminaldomain
1109,PF03144,ElongationfactorTudomain2
1110,PF03145,Seveninabsentiaproteinfamily
1111,PF03157,Highmolecularweightgluteninsubunit
1112,PF03160,Calx-betadomain
1113,PF03164,Vacuolar fusion protein Mon1
1114,PF03165,MH1domain
1115,PF03168,Lateembryogenesisabundantprotein
1116,PF03171,2OG-Fe(II)oxygenasesuperfamily
1117,PF03175,DNApolymerasetypeB: organellarandviral
1118,PF03178,CPSFAsubunitregion
1119,PF03184,DDEsuperfamilyendonuclease
1120,PF03188,Eukaryoticcytochromeb561
1121,PF03189,Otopetrin
1122,PF03195,Lateralorganboundaries(LOB)domain
1123,PF03198,Glucanosyltransferase
1124,PF03221,Tc5transposaseDNA-bindingdomain
1125,PF03232,UbiquinonebiosynthesisproteinCOQ7
1126,PF03248,Rer1family
1127,PF03250,Tropomodulin
1128,PF03254,Xyloglucanfucosyltransferase
1129,PF03259,Roadblock/LC7domain
1130,PF03265,DeoxyribonucleaseII
1131,PF03271,EB1-likeC-terminalmotif
1132,PF03281,Mab-21protein
1133,PF03291,mRNAcappingenzyme
1134,PF03302,Giardiavariant-specificsurfaceprotein
1135,PF03311,Cornichonprotein
1136,PF03314,Proteinofunknownfunction: DUF273
1137,PF03321,GH3auxin-responsivepromoter
1138,PF03330,Lytictransglycolase
1139,PF03344,DaxxN-terminalRassf1C-interactingdomain
1140,PF03351,DOMONdomain
1141,PF03353,Ras-mediatedvulval-inductionantagonist
1142,PF03357,Snf7
1143,PF03364,Polyketidecyclase/dehydraseandlipidtransport
1144,PF03370,Carbohydrate/starch-bindingmodule(family21)
1145,PF03371,PRP38family
1146,PF03372,Endonuclease/Exonuclease/phosphatasefamily
1147,PF03381,LEM3(ligand-effectmodulator3)family/CDC50family
1148,PF03392,Insectpheromone-bindingfamily: A10/OS-D
1149,PF03399,SAC3/GANPfamily
1150,PF03402,Vomeronasalorganpheromonereceptorfamily: V1R
1151,PF03435,SaccharopinedehydrogenaseNADPbindingdomain
1152,PF03443,Glycosylhydrolasefamily61
1153,PF03451,HELPmotif
1154,PF03455,dDENNdomain
1155,PF03456,uDENNdomain
1156,PF03462,PCRFdomain
1157,PF03464,eRF1domain2
1158,PF03465,eRF1domain3
1159,PF03467,Smg-4/UPF3family
1160,PF03473,MOSCdomain
1161,PF03476,MOSCN-terminalbetabarreldomain
1162,PF03477,ATPconedomain
1163,PF03478,Proteinofunknownfunction(DUF295)
1164,PF03479,PlantsandProkaryotesConserved(PCC)domain
1165,PF03483,B3/4domain
1166,PF03484,tRNAsynthetaseB5domain
1167,PF03489,Saposin-liketypeB: region2
1168,PF03494,Beta-amyloidpeptide(beta-APP)
1169,PF03501,Plectin/S10domain
1170,PF03514,GRASdomainfamily
1171,PF03520,KCNQvoltage-gatedpotassiumchannel
1172,PF03522,Solutecarrierfamily12
1173,PF03530,Calcium-activatedSKpotassiumchannel
1174,PF03540,TranscriptioninitiationfactorTFIID23-30kDasubunit
1175,PF03542,Tuberin
1176,PF03547,Membranetransportprotein
1177,PF03552,Cellulosesynthase
1178,PF03556,Cullinbinding
1179,PF03564,Proteinofunknownfunction(DUF1759)
1180,PF03567,Sulfotransferasefamily
1181,PF03572,PeptidasefamilyS41
1182,PF03588,Leucyl/phenylalanyl-tRNAproteintransferase
1183,PF03595,Voltage-dependentanionchannel
1184,PF03607,Doublecortin
1185,PF03619,OrganicsolutetransporterOstalpha
1186,PF03630,Fumble
1187,PF03634,TCPfamilytranscriptionfactor
1188,PF03637,Mob1/phoceinfamily
1189,PF03644,Glycosylhydrolasefamily85
1190,PF03645,Tctex-1family
1191,PF03647,Transmembraneproteins14C
1192,PF03650,Mitochondrialpyruvatecarriers
1193,PF03661,Transmembraneprotein33/NucleoporinPOM33
1194,PF03662,Glycosylhydrolasefamily79: N-terminaldomain
1195,PF03670,Uncharacterisedproteinfamily(UPF0184)
1196,PF03700,Sortingnexin: N-terminaldomain
1197,PF03723,Hemocyanin: ig-likedomain
1198,PF03727,Hexokinase
1199,PF03732,Retrotransposongagprotein
1200,PF03736,EPTPdomain
1201,PF03738,GlutathionylspermidinesynthasepreATP-grasp
1202,PF03742,PetN
1203,PF03762,VitellinemembraneouterlayerproteinI(VOMI)
1204,PF03764,ElongationfactorG: domainIV
1205,PF03770,Inositolpolyphosphatekinase
1206,PF03781,Sulfatase-modifyingfactorenzyme1
1207,PF03782,AMOPdomain
1208,PF03784,Cyclotidefamily
1209,PF03791,KNOX2domain
1210,PF03800,Nuf2family
1211,PF03807,NADPoxidoreductasecoenzymeF420-dependent
1212,PF03810,Importin-betaN-terminaldomain
1213,PF03813,Nrapproteindomain1
1214,PF03822,NAFdomain
1215,PF03828,Cid1familypolyApolymerase
1216,PF03832,WSKmotif
1217,PF03850,TranscriptionfactorTfb4
1218,PF03856,Beta-glucosidase(SUNfamily)
1219,PF03867,Fushitarazu(FTZ): N-terminalregion
1220,PF03868,RibosomalproteinL6: N-terminaldomain
1221,PF03874,RNApolymeraseRpb4
1222,PF03876,SHS2domainfoundinNterminusofRpb7p/Rpc25p/MJ0397
1223,PF03900,Porphobilinogendeaminase: C-terminaldomain
1224,PF03901,Alg9-likemannosyltransferasefamily
1225,PF03909,BSDdomain
1226,PF03912,Psb28protein
1227,PF03919,mRNAcappingenzyme: C-terminaldomain
1228,PF03920,Groucho/TLEN-terminalQ-richdomain
1229,PF03921,Intercellularadhesionmolecule(ICAM): N-terminaldomain
1230,PF03924,CHASEdomain
1231,PF03931,Skp1family: tetramerisationdomain
1232,PF03932,CutCfamily
1233,PF03936,Terpenesynthasefamily: metalbindingdomain
1234,PF03937,Flavinatorofsuccinatedehydrogenase
1235,PF03947,RibosomalProteinsL2: C-terminaldomain
1236,PF03950,tRNAsynthetasesclassI(EandQ): anti-codonbindingdomain
1237,PF03952,Enolase: N-terminaldomain
1238,PF03953,TubulinC-terminaldomain
1239,PF03962,Mnd1HTHdomain
1240,PF03973,Triabin
1241,PF03982,Diacylglycerolacyltransferase
1242,PF03987,Autophagocytosisassociatedprotein: active-sitedomain
1243,PF03997,VPS28protein
1244,PF04000,Sas10/Utp3/C1Dfamily
1245,PF04003,Dip2/Utp12Family
1246,PF04004,Leo1-likeprotein
1247,PF04005,Hus1-likeprotein
1248,PF04037,Domainofunknownfunction(DUF382)
1249,PF04042,DNApolymerasealpha/epsilonsubunitB
